stratum,corpus,policy,max_length,total_conversations_primary,trained_units_primary,unsupported_units_primary,conditional_prevalence_primary,affected_conversations_primary,conversation_incidence_primary,nominal_objective_exposure_primary,processed_objective_exposure_primary,supervised_token_retention_primary,total_conversations_strict,trained_units_strict,unsupported_units_strict,conditional_prevalence_strict,affected_conversations_strict,conversation_incidence_strict,nominal_objective_exposure_strict,processed_objective_exposure_strict,supervised_token_retention_strict,delta_conditional_percentage_points,delta_nominal_objective_percentage_points
all_admitted,retool,bfd_split,256,2000,1600,519,0.324375,479,0.2395,0.0018780915063696,0.0018853623649833,0.996143521930446,2000,1575,514,0.3263492063492063,475,0.2375,0.0018665531370015,0.001873779325879,0.996143521930446,0.19742063492062534,-0.0011538369368100081
all_admitted,retool,bfd_split,512,2000,1606,315,0.1961394769613947,301,0.1505,0.0012541319936201,0.0012567357955354,0.997928123059372,2000,1578,313,0.1983523447401774,299,0.1495,0.0012485107367485,0.0012511028679309,0.997928123059372,0.22128677787827122,-0.000562125687159987
all_admitted,retool,bfd_split,1024,2000,1608,232,0.1442786069651741,227,0.1135,0.0009230695494444,0.0009239026952788,0.9990982320555428,2000,1580,231,0.1462025316455696,226,0.113,0.0009201109931962,0.0009209414686913,0.9990982320555428,0.19239246803954835,-0.00029585562482000154
all_admitted,retool,bfd_split,2048,2000,1610,89,0.05527950310559,88,0.044,0.0004292865116166,0.000429402754333,0.999729292103288,2000,1581,88,0.0556609740670461,87,0.0435,0.0004263279553684,0.0004264433969634,0.999729292103288,0.03814709614560971,-0.00029585562482000154
all_admitted,retool,bfd_split,4096,2000,1611,13,0.0080695220360024,13,0.0065,6.360895933671535e-05,6.361238459160109e-05,0.9999461542762824,2000,1582,13,0.0082174462705436,13,0.0065,6.360895933671535e-05,6.361238459160109e-05,0.9999461542762824,0.014792423454119963,0.0
all_admitted,retool,bfd_split,8192,2000,1611,2,0.0012414649286157,2,0.001,6.508823746082502e-06,6.508866111144806e-06,0.999993491176254,2000,1582,2,0.0012642225031605,2,0.001,6.508823746082502e-06,6.508866111144806e-06,0.999993491176254,0.002275757454479996,0.0
all_admitted,retool,wrapped_single_batch,256,2000,1605,545,0.3395638629283489,498,0.249,0.0019174403044709,0.001924923527282,0.99611245708984,2000,1577,538,0.341154090044388,492,0.246,0.0018955469882341,0.0019029447676741,0.99611245708984,0.15902271160391224,-0.0021893316236800027
all_admitted,retool,wrapped_single_batch,512,2000,1606,325,0.2023661270236612,308,0.154,0.0013434803923163,0.0013460953009387,0.9980574119674192,2000,1577,321,0.2035510462904248,304,0.152,0.0013354922904462,0.0013380916512744,0.9980574119674192,0.11849192667636177,-0.0007988101870100035
all_admitted,retool,wrapped_single_batch,1024,2000,1610,190,0.1180124223602484,185,0.0925,0.0008668569807282,0.0008676951470076,0.9990340313849564,2000,1581,188,0.1189120809614168,183,0.0915,0.0008609398682318,0.0008617723132397,0.9990340313849564,0.08996586011683905,-0.0005917112496400031
all_admitted,retool,wrapped_single_batch,2048,2000,1610,113,0.0701863354037267,112,0.056,0.0005911195383942,0.0005914066657865,0.9995145009196672,2000,1581,112,0.0708412397216951,111,0.0555,0.000588160982146,0.0005884466724643,0.9995145009196672,0.06549043179684133,-0.00029585562482000154
all_admitted,retool,wrapped_single_batch,4096,2000,1611,62,0.0384854127870887,62,0.031,0.0002499980029745,0.0002500592596056,0.9997550315426474,2000,1582,62,0.0391908975979772,62,0.031,0.0002499980029745,0.0002500592596056,0.9997550315426474,0.07054848108884945,0.0
all_admitted,retool,wrapped_single_batch,8192,2000,1611,29,0.0180012414649286,29,0.0145,0.0001056204580614,0.0001056331151827,0.9998801784719472,2000,1582,29,0.018331226295828,29,0.0145,0.0001056204580614,0.0001056331151827,0.9998801784719472,0.03299848308993998,0.0
all_admitted,toolace,bfd_split,256,11300,906,556,0.6136865342163356,446,0.0394690265486725,0.029958104811696,0.0300744298697718,0.9961320943213376,11300,896,551,0.6149553571428571,442,0.0391150442477876,0.0297102169339474,0.0298255794621184,0.9961320943213376,0.1268822926521529,-0.02478878777486017
all_admitted,toolace,bfd_split,512,11300,913,353,0.3866374589266155,302,0.0267256637168141,0.0208866906647775,0.0209296050912859,0.9979495825974162,11300,902,350,0.3880266075388026,300,0.0265486725663716,0.0207851848527684,0.0208278907223647,0.9979495825974162,0.13891486121870855,-0.010150581200910058
all_admitted,toolace,bfd_split,1024,11300,916,240,0.2620087336244541,224,0.0198230088495575,0.0147311645280994,0.014742852865537,0.9992071861840972,11300,905,239,0.2640883977900553,223,0.0197345132743362,0.0146382065739437,0.0146498211545556,0.9992071861840972,0.20796641656011805,-0.009295795415570005
all_admitted,toolace,bfd_split,2048,11300,918,43,0.0468409586056644,40,0.0035398230088495,0.0041745600791531,0.0041748678724309,0.9999262747260144,11300,906,43,0.0474613686534216,40,0.0035398230088495,0.0041702861502264,0.0041705936283844,0.9999262747260144,0.06204100477571958,-0.0004273928926699401
all_admitted,toolace,bfd_split,4096,11300,918,3,0.0032679738562091,3,0.0002654867256637,0.0002136964463349,0.0002136971313297,0.9999967945533048,11300,906,3,0.0033112582781456,3,0.0002654867256637,0.0002136964463349,0.0002136971313297,0.9999967945533048,0.004328442193649983,0.0
all_admitted,toolace,bfd_split,8192,11300,918,0,0.0,0,0.0,0.0,0.0,1.0,11300,906,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
all_admitted,toolace,wrapped_single_batch,256,11300,911,564,0.6190998902305159,454,0.0401769911504424,0.0304912774453017,0.0306114786877086,0.9960733277985954,11300,899,561,0.6240266963292548,451,0.0399115044247787,0.030178212151421,0.0302971792429352,0.9960733277985954,0.4926806098738856,-0.03130652938806988
all_admitted,toolace,wrapped_single_batch,512,11300,913,360,0.3943044906900328,314,0.027787610619469,0.0211612905983179,0.0212029531040566,0.9980350611759502,11300,901,357,0.3962264150943396,312,0.0276106194690265,0.0210490999639921,0.0210905415879786,0.9980350611759502,0.1921924404306774,-0.011219063432580181
all_admitted,toolace,wrapped_single_batch,1024,11300,915,216,0.2360655737704918,201,0.017787610619469,0.0131284411805873,0.013141162415869,0.9990319550981028,11300,903,214,0.2369878183831672,200,0.0176991150442477,0.0130557843888335,0.0130684352209248,0.9990319550981028,0.09222446126753991,-0.007265679175380048
